region_name,unique_outages,avg_customers_per_unique_outage,tree_related_outage_count,weather_related_outage_count,percent_with_latlon,suggested_priority_score,first_snapshot_date,last_snapshot_date
Lower Mainland,30418,172.0011177592215,4016,2613,100.0,0.9971018752355516,2024-01-01,2026-06-11
South VI,9750,157.00441025641027,1912,1710,100.0,0.4365440859485835,2024-01-01,2026-06-11
North VI,8837,158.30417562521217,1717,1104,100.0,0.3729818657098988,2024-01-01,2026-06-11
Okanagan/Kootenay,5724,173.09119496855345,1284,468,100.0,0.2919324690058665,2024-01-02,2026-06-11
Thompson/Shuswap,5724,146.2624039133473,1148,236,100.0,0.1957292437062914,2024-01-02,2026-06-08
Northern,7177,116.95583112721192,1679,190,100.0,0.18254457562826,2024-01-02,2026-06-11
Central Interior,4780,115.59121338912134,1358,322,100.0,0.1264726647084041,2024-01-02,2026-06-08
