corridor_id,segment_id,region,length_km,sentinel2_ndvi_mean,sentinel2_ndmi_mean,cloud_filtered_pct,scenes_used,tiles_used,period_start,period_end,data_status,data_source,as_of_date
OK-TX-2170,OK-TX-2170-S022,Kelowna / Okanagan,4.951,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-2170,OK-TX-2170-S023,Kelowna / Okanagan,4.604,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-2170,OK-TX-2170-S024,Kelowna / Okanagan,4.988,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-2170,OK-TX-2170-S025,Kelowna / Okanagan,4.582,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-2170,OK-TX-2170-S026,Kelowna / Okanagan,4.736,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-2170,OK-TX-2170-S027,Kelowna / Okanagan,4.977,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-2170,OK-TX-2170-S028,Kelowna / Okanagan,4.924,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-2170,OK-TX-2170-S029,Kelowna / Okanagan,4.978,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-2170,OK-TX-2170-S030,Kelowna / Okanagan,4.917,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-2170,OK-TX-2170-S031,Kelowna / Okanagan,4.832,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-2170,OK-TX-2170-S032,Kelowna / Okanagan,4.999,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-2170,OK-TX-2170-S033,Kelowna / Okanagan,4.692,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-2170,OK-TX-2170-S034,Kelowna / Okanagan,4.879,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-2170,OK-TX-2170-S035,Kelowna / Okanagan,4.869,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-2170,OK-TX-2170-S036,Kelowna / Okanagan,4.965,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-2170,OK-TX-2170-S037,Kelowna / Okanagan,4.976,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-2170,OK-TX-2170-S038,Kelowna / Okanagan,4.961,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-2170,OK-TX-2170-S039,Kelowna / Okanagan,4.972,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-2170,OK-TX-2170-S040,Kelowna / Okanagan,5.0,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-2170,OK-TX-2170-S041,Kelowna / Okanagan,4.932,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-2170,OK-TX-2170-S042,Kelowna / Okanagan,5.0,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-2170,OK-TX-2170-S043,Kelowna / Okanagan,4.901,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-2170,OK-TX-2170-S044,Kelowna / Okanagan,5.0,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-2170,OK-TX-2170-S045,Kelowna / Okanagan,2.432,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-861,OK-TX-861-S001,Kelowna / Okanagan,0.045,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-863,OK-TX-863-S001,Kelowna / Okanagan,0.044,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-820,OK-TX-820-S001,Kelowna / Okanagan,0.022,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-818,OK-TX-818-S001,Kelowna / Okanagan,0.048,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-1448,OK-TX-1448-S001,Kelowna / Okanagan,0.062,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-1150,OK-TX-1150-S001,Kelowna / Okanagan,0.042,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-1143,OK-TX-1143-S001,Kelowna / Okanagan,0.163,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-1152,OK-TX-1152-S001,Kelowna / Okanagan,1.974,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-1140,OK-TX-1140-S001,Kelowna / Okanagan,0.146,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-836,OK-TX-836-S001,Kelowna / Okanagan,4.999,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-836,OK-TX-836-S002,Kelowna / Okanagan,1.736,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-606,OK-TX-606-S001,Kelowna / Okanagan,4.999,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-606,OK-TX-606-S002,Kelowna / Okanagan,1.739,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-969,OK-TX-969-S001,Kelowna / Okanagan,2.028,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-1009,OK-TX-1009-S001,Kelowna / Okanagan,2.892,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
OK-TX-1128,OK-TX-1128-S001,Kelowna / Okanagan,3.175,0.2479,-0.4261,0.07,93,"T10UFA,T10UGA,T10UGV,T11ULQ,T11ULR,T11ULS,T11UMR",2026-01-08,2026-06-20,open_free_processed,Sentinel-2 L2A (local SAFE),2026-06-22
