aoi_id,scene_id,tile,sensing_date,ndvi_mean,ndmi_mean,cloud_filtered_pct,status,notes
okanagan_corridor,S2B_MSIL2A_20260504T190909_N0512_R056_T10UFB_20260504T224440,T10UFB,2026-05-04,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2B_MSIL2A_20260504T190909_N0512_R056_T10UFV_20260504T224440,T10UFV,2026-05-04,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2B_MSIL2A_20260504T190909_N0512_R056_T10UGA_20260504T224440,T10UGA,2026-05-04,0.231,-0.4901,0.01,processed,
okanagan_corridor,S2B_MSIL2A_20260504T190909_N0512_R056_T10UGB_20260504T224440,T10UGB,2026-05-04,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2B_MSIL2A_20260511T185909_N0512_R013_T10UFA_20260511T224809,T10UFA,2026-05-11,0.2315,-0.484,0.19,processed,
okanagan_corridor,S2B_MSIL2A_20260511T185909_N0512_R013_T10UFV_20260511T224809,T10UFV,2026-05-11,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2B_MSIL2A_20260511T185909_N0512_R013_T10UGA_20260511T224809,T10UGA,2026-05-11,0.2876,-0.4208,0.13,processed,
okanagan_corridor,S2B_MSIL2A_20260511T185909_N0512_R013_T10UGV_20260511T224809,T10UGV,2026-05-11,0.2571,-0.4387,0.04,processed,
okanagan_corridor,S2B_MSIL2A_20260511T185909_N0512_R013_T11ULQ_20260511T224809,T11ULQ,2026-05-11,0.2498,-0.4389,0.03,processed,
okanagan_corridor,S2B_MSIL2A_20260511T185909_N0512_R013_T11ULR_20260511T224809,T11ULR,2026-05-11,0.3073,-0.3982,0.12,processed,
okanagan_corridor,S2B_MSIL2A_20260514T190909_N0512_R056_T10UGA_20260514T224109,T10UGA,2026-05-14,0.279,-0.4534,0.01,processed,
okanagan_corridor,S2B_MSIL2A_20260524T190909_N0512_R056_T10UFV_20260524T223840,T10UFV,2026-05-24,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2B_MSIL2A_20260528T184909_N0512_R113_T10UGA_20260528T224405,T10UGA,2026-05-28,0.3346,-0.4051,0.11,processed,
okanagan_corridor,S2B_MSIL2A_20260528T184909_N0512_R113_T10UGB_20260528T224405,T10UGB,2026-05-28,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2B_MSIL2A_20260528T184909_N0512_R113_T10UGV_20260528T224405,T10UGV,2026-05-28,0.2674,-0.4437,0.03,processed,
okanagan_corridor,S2B_MSIL2A_20260528T184909_N0512_R113_T11ULQ_20260528T224405,T11ULQ,2026-05-28,0.2679,-0.4428,0.02,processed,
okanagan_corridor,S2B_MSIL2A_20260528T184909_N0512_R113_T11ULR_20260528T224405,T11ULR,2026-05-28,0.3541,-0.3915,0.13,processed,
okanagan_corridor,S2B_MSIL2A_20260528T184909_N0512_R113_T11ULS_20260528T224405,T11ULS,2026-05-28,0.3953,-0.3995,0.03,processed,
okanagan_corridor,S2B_MSIL2A_20260528T184909_N0512_R113_T11UMR_20260528T224405,T11UMR,2026-05-28,0.3945,-0.3759,0.04,processed,
okanagan_corridor,S2B_MSIL2A_20260528T184909_N0512_R113_T11UMS_20260528T224405,T11UMS,2026-05-28,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2B_MSIL2A_20260531T185909_N0512_R013_T10UFV_20260531T225041,T10UFV,2026-05-31,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2B_MSIL2A_20260620T185919_N0512_R013_T10UFA_20260620T224340,T10UFA,2026-06-20,0.3045,-0.4564,0.25,processed,
okanagan_corridor,S2B_MSIL2A_20260620T185919_N0512_R013_T10UFV_20260620T224340,T10UFV,2026-06-20,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2B_MSIL2A_20260620T185919_N0512_R013_T10UGA_20260620T224340,T10UGA,2026-06-20,0.3303,-0.4095,0.16,processed,
okanagan_corridor,S2B_MSIL2A_20260620T185919_N0512_R013_T10UGB_20260620T224340,T10UGB,2026-06-20,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2B_MSIL2A_20260620T185919_N0512_R013_T10UGV_20260620T224340,T10UGV,2026-06-20,0.2639,-0.4343,0.04,processed,
okanagan_corridor,S2B_MSIL2A_20260620T185919_N0512_R013_T11ULQ_20260620T224340,T11ULQ,2026-06-20,0.2415,-0.4398,0.02,processed,
okanagan_corridor,S2B_MSIL2A_20260620T185919_N0512_R013_T11ULR_20260620T224340,T11ULR,2026-06-20,0.3405,-0.392,0.14,processed,
okanagan_corridor,S2B_MSIL2A_20260620T185919_N0512_R013_T11ULS_20260620T224340,T11ULS,2026-06-20,0.394,-0.3967,0.06,processed,
okanagan_corridor,S2C_MSIL2A_20260116T190731_N0511_R013_T10UFB_20260116T201709,T10UFB,2026-01-16,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2C_MSIL2A_20260116T190731_N0511_R013_T10UFV_20260116T215310,T10UFV,2026-01-16,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2C_MSIL2A_20260116T190731_N0511_R013_T10UGA_20260116T201709,T10UGA,2026-01-16,0.0957,-0.3898,0.1,processed,
okanagan_corridor,S2C_MSIL2A_20260116T190731_N0511_R013_T10UGB_20260116T201709,T10UGB,2026-01-16,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2C_MSIL2A_20260116T190731_N0511_R013_T11ULR_20260116T201709,T11ULR,2026-01-16,0.1103,-0.3737,0.11,processed,
