file_name,row_count,column_count,missing_value_pct,target_columns_present,notes
okanagan_discovery_raw.csv,689,11,3.9055,no,"Input rows=689; weather_joined_columns=eccc_temperature_mean_c,eccc_precip_total_mm,eccc_wind_gust_max_kmh; absent_requested_columns=fire_danger_score,distance_to_hotspot_km,public_outage_count,public_customers_affected,tree_related_outage_proxy,weather_related_outage_proxy; missing_by_column=worldcover_tree_pct=21.48%; worldcover_shrub_grass_pct=21.48%"
okanagan_discovery_with_targets.csv,689,14,3.0686,"planning_priority_score,tree_contact_exposure_proxy,outage_history_proxy_score","Input rows=689; weather_joined_columns=eccc_temperature_mean_c,eccc_precip_total_mm,eccc_wind_gust_max_kmh; dropped_missing_targets=0; absent_target_columns=none; absent_raw_columns=fire_danger_score,distance_to_hotspot_km,public_outage_count,public_customers_affected,tree_related_outage_proxy,weather_related_outage_proxy; missing_by_column=worldcover_tree_pct=21.48%; worldcover_shrub_grass_pct=21.48%"
