corridor_id,segment_id,region,centroid_lat,centroid_lon,fwi_value,fwi_risk_band,data_status,data_source,as_of_date
OK-TX-2170,OK-TX-2170-S033,Kelowna / Okanagan,50.166806,-118.532015,15.21,high,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-2170,OK-TX-2170-S034,Kelowna / Okanagan,50.191856,-118.582698,15.35,high,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-2170,OK-TX-2170-S035,Kelowna / Okanagan,50.208434,-118.645876,18.21,high,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-2170,OK-TX-2170-S036,Kelowna / Okanagan,50.230049,-118.705627,18.08,high,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-2170,OK-TX-2170-S037,Kelowna / Okanagan,50.254026,-118.764369,20.03,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-2170,OK-TX-2170-S038,Kelowna / Okanagan,50.283397,-118.814775,19.89,high,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-2170,OK-TX-2170-S039,Kelowna / Okanagan,50.322295,-118.847932,15.85,high,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-2170,OK-TX-2170-S040,Kelowna / Okanagan,50.364354,-118.872012,13.15,high,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-2170,OK-TX-2170-S041,Kelowna / Okanagan,50.405528,-118.898525,17.28,high,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-2170,OK-TX-2170-S042,Kelowna / Okanagan,50.443118,-118.935526,15.79,high,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-2170,OK-TX-2170-S043,Kelowna / Okanagan,50.482802,-118.959632,16.41,high,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-2170,OK-TX-2170-S044,Kelowna / Okanagan,50.527224,-118.96203,19.88,high,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-2170,OK-TX-2170-S045,Kelowna / Okanagan,50.555394,-118.976599,17.23,high,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-861,OK-TX-861-S001,Kelowna / Okanagan,49.906377,-119.348978,27.89,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-863,OK-TX-863-S001,Kelowna / Okanagan,49.906182,-119.348766,27.89,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-820,OK-TX-820-S001,Kelowna / Okanagan,49.906669,-119.348841,27.89,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-818,OK-TX-818-S001,Kelowna / Okanagan,49.906973,-119.348698,27.89,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1448,OK-TX-1448-S001,Kelowna / Okanagan,49.906766,-119.348367,27.89,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1150,OK-TX-1150-S001,Kelowna / Okanagan,49.90705,-119.348195,27.89,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1143,OK-TX-1143-S001,Kelowna / Okanagan,49.907916,-119.347712,27.89,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1152,OK-TX-1152-S001,Kelowna / Okanagan,49.916092,-119.346558,27.89,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1140,OK-TX-1140-S001,Kelowna / Okanagan,49.907948,-119.347039,27.89,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-836,OK-TX-836-S001,Kelowna / Okanagan,49.93113,-119.346467,27.37,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-836,OK-TX-836-S002,Kelowna / Okanagan,49.961026,-119.350543,27.88,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-606,OK-TX-606-S001,Kelowna / Okanagan,49.931126,-119.346346,27.37,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-606,OK-TX-606-S002,Kelowna / Okanagan,49.961039,-119.350425,27.88,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-969,OK-TX-969-S001,Kelowna / Okanagan,49.934087,-119.345569,27.37,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1009,OK-TX-1009-S001,Kelowna / Okanagan,49.95598,-119.348757,27.88,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1128,OK-TX-1128-S001,Kelowna / Okanagan,50.114874,-119.347055,25.29,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1117,OK-TX-1117-S001,Kelowna / Okanagan,50.11645,-119.347596,27.13,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1195,OK-TX-1195-S001,Kelowna / Okanagan,50.14812,-119.333691,25.28,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1115,OK-TX-1115-S001,Kelowna / Okanagan,50.149292,-119.33303,25.28,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-779,OK-TX-779-S001,Kelowna / Okanagan,49.862791,-119.333685,25.44,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1070,OK-TX-1070-S001,Kelowna / Okanagan,49.861349,-119.306593,21.34,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-867,OK-TX-867-S001,Kelowna / Okanagan,49.859559,-119.256833,21.31,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1185,OK-TX-1185-S001,Kelowna / Okanagan,49.849533,-119.063819,16.33,high,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1069,OK-TX-1069-S001,Kelowna / Okanagan,49.861071,-119.279165,19.66,high,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1316,OK-TX-1316-S001,Kelowna / Okanagan,49.861188,-119.276639,19.66,high,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1335,OK-TX-1335-S001,Kelowna / Okanagan,49.861242,-119.275915,19.66,high,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1334,OK-TX-1334-S001,Kelowna / Okanagan,49.866179,-119.3307,25.44,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-897,OK-TX-897-S001,Kelowna / Okanagan,49.868208,-119.331555,25.44,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1265,OK-TX-1265-S001,Kelowna / Okanagan,49.868111,-119.331494,25.44,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-821,OK-TX-821-S001,Kelowna / Okanagan,49.886716,-119.338737,27.16,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1114,OK-TX-1114-S001,Kelowna / Okanagan,49.864955,-119.222981,20.42,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1015,OK-TX-1015-S001,Kelowna / Okanagan,49.876841,-119.376963,27.22,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-834,OK-TX-834-S001,Kelowna / Okanagan,49.869698,-119.332207,25.44,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1449,OK-TX-1449-S001,Kelowna / Okanagan,49.878618,-119.335811,25.93,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1348,OK-TX-1348-S001,Kelowna / Okanagan,49.854654,-119.073478,16.44,high,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1184,OK-TX-1184-S001,Kelowna / Okanagan,49.85603,-119.083634,16.33,high,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1347,OK-TX-1347-S001,Kelowna / Okanagan,49.857471,-119.094275,20.61,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1338,OK-TX-1338-S001,Kelowna / Okanagan,49.864256,-119.194822,20.01,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-805,OK-TX-805-S001,Kelowna / Okanagan,49.864925,-119.205218,18.1,high,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1343,OK-TX-1343-S001,Kelowna / Okanagan,49.85917,-119.106842,20.61,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1339,OK-TX-1339-S001,Kelowna / Okanagan,49.860639,-119.125283,20.98,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1333,OK-TX-1333-S001,Kelowna / Okanagan,49.86097,-119.12691,20.71,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1331,OK-TX-1331-S001,Kelowna / Okanagan,49.86589,-119.17501,20.01,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1346,OK-TX-1346-S001,Kelowna / Okanagan,49.860539,-119.119666,20.61,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1332,OK-TX-1332-S001,Kelowna / Okanagan,49.865164,-119.145164,17.64,high,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1031,OK-TX-1031-S001,Kelowna / Okanagan,49.882353,-119.351248,27.22,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-860,OK-TX-860-S001,Kelowna / Okanagan,49.895175,-119.342893,27.16,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-823,OK-TX-823-S001,Kelowna / Okanagan,49.896802,-119.343374,27.16,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1447,OK-TX-1447-S001,Kelowna / Okanagan,49.907268,-119.367452,27.89,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-878,OK-TX-878-S001,Kelowna / Okanagan,49.905491,-119.348184,27.89,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-877,OK-TX-877-S001,Kelowna / Okanagan,49.905561,-119.349253,27.89,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-876,OK-TX-876-S001,Kelowna / Okanagan,49.905905,-119.3492,27.89,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1016,OK-TX-1016-S001,Kelowna / Okanagan,49.905937,-119.347393,27.89,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1258,OK-TX-1258-S001,Kelowna / Okanagan,49.912811,-119.386866,28.03,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-252,OK-TX-252-S001,Kelowna / Okanagan,49.918297,-119.538627,21.37,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-87,OK-TX-87-S001,Kelowna / Okanagan,49.936984,-119.532745,26.1,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1276,OK-TX-1276-S001,Kelowna / Okanagan,49.918324,-119.394526,27.62,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1272,OK-TX-1272-S001,Kelowna / Okanagan,49.918278,-119.394354,27.62,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1406,OK-TX-1406-S001,Kelowna / Okanagan,49.918324,-119.394217,27.62,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1263,OK-TX-1263-S001,Kelowna / Okanagan,49.918274,-119.390542,27.62,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1415,OK-TX-1415-S001,Kelowna / Okanagan,49.918968,-119.386923,27.62,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1413,OK-TX-1413-S001,Kelowna / Okanagan,49.919853,-119.387016,27.62,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1405,OK-TX-1405-S001,Kelowna / Okanagan,49.925194,-119.386895,27.62,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1417,OK-TX-1417-S001,Kelowna / Okanagan,49.932883,-119.389397,27.62,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1262,OK-TX-1262-S001,Kelowna / Okanagan,49.941214,-119.38883,27.21,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1409,OK-TX-1409-S001,Kelowna / Okanagan,49.954503,-119.386088,27.26,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-428,OK-TX-428-S001,Kelowna / Okanagan,49.961839,-119.531773,23.92,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-82,OK-TX-82-S001,Kelowna / Okanagan,49.96772,-119.414848,27.0,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-82,OK-TX-82-S002,Kelowna / Okanagan,49.973977,-119.388288,26.75,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1416,OK-TX-1416-S001,Kelowna / Okanagan,49.962081,-119.386239,27.26,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-684,OK-TX-684-S001,Kelowna / Okanagan,49.962086,-119.385885,27.26,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-1093,OK-TX-1093-S001,Kelowna / Okanagan,49.962321,-119.387005,27.26,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-938,OK-TX-938-S001,Kelowna / Okanagan,49.967069,-119.385291,27.26,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
OK-TX-86,OK-TX-86-S001,Kelowna / Okanagan,49.969033,-119.451922,28.53,extreme,cwfis_live,"CWFIS Fire Weather Index (NRCan open data — illustrative context, not operational)",2026-06-22
