eccc_wind_gust_max_kmh,weather_stress_score,worldcover_tree_pct,worldcover_shrub_grass_pct,sentinel2_ndvi_mean,sentinel2_ndmi_mean,vegetation_dryness_score,wildfire_exposure_score,distance_to_active_fire_km
0.0,27.6,32.77,67.23,0.2479,-0.4261,100.0,16.25,33.77
0.0,27.6,30.62,69.38,0.2479,-0.4261,100.0,16.25,33.04
0.0,27.6,13.53,86.47,0.2479,-0.4261,100.0,16.25,32.28
0.0,27.6,54.0,42.0,0.2479,-0.4261,100.0,16.25,25.08
0.0,27.6,61.8,38.2,0.2479,-0.4261,100.0,16.25,24.34
0.0,27.6,12.26,87.74,0.2479,-0.4261,100.0,16.25,31.38
0.0,27.6,0.0,53.85,0.2479,-0.4261,100.0,16.25,30.06
0.0,27.6,0.0,65.71,0.2479,-0.4261,100.0,16.25,29.94
0.0,27.6,60.23,36.55,0.2479,-0.4261,100.0,16.25,26.51
0.0,27.6,0.0,100.0,0.2479,-0.4261,100.0,16.25,30.46
0.0,27.6,33.01,16.31,0.2479,-0.4261,100.0,16.25,28.65
0.0,27.6,13.58,74.86,0.2479,-0.4261,100.0,34.5,14.26
0.0,27.6,0.0,67.24,0.2479,-0.4261,100.0,34.5,15.24
0.0,27.6,0.0,57.52,0.2479,-0.4261,100.0,34.5,15.26
0.0,27.6,48.24,44.49,0.2479,-0.4261,100.0,34.5,14.13
0.0,27.6,0.0,100.0,0.2479,-0.4261,100.0,34.5,15.3
0.0,27.6,0.0,100.0,0.2479,-0.4261,100.0,34.5,15.23
0.0,27.6,0.0,100.0,0.2479,-0.4261,100.0,34.5,15.25
0.0,27.6,0.0,58.33,0.2479,-0.4261,100.0,34.5,15.37
0.0,27.6,5.3,24.24,0.2479,-0.4261,100.0,34.5,13.22
0.0,27.6,75.0,0.0,0.2479,-0.4261,100.0,47.5,7.61
0.0,27.6,86.93,10.1,0.2479,-0.4261,100.0,47.5,9.75
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,34.5,13.1
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,34.5,13.11
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,34.5,13.12
0.0,27.6,19.1,2.25,0.2479,-0.4261,100.0,34.5,13.33
0.0,27.6,0.0,30.0,0.2479,-0.4261,100.0,34.5,13.59
0.0,27.6,0.0,25.0,0.2479,-0.4261,100.0,34.5,13.64
0.0,27.6,12.6,9.45,0.2479,-0.4261,100.0,34.5,13.99
0.0,27.6,3.31,42.15,0.2479,-0.4261,100.0,34.5,14.38
0.0,27.6,3.14,21.99,0.2479,-0.4261,100.0,34.5,15.03
0.0,27.6,0.0,73.93,0.2479,-0.4261,100.0,34.5,16.19
0.0,27.6,64.84,35.16,0.2479,-0.4261,100.0,34.5,12.47
0.0,27.6,31.26,52.88,0.2479,-0.4261,100.0,34.5,16.03
0.0,27.6,0.0,76.92,0.2479,-0.4261,100.0,34.5,17.71
0.0,27.6,10.53,71.05,0.2479,-0.4261,100.0,34.5,16.8
0.0,27.6,0.0,100.0,0.2479,-0.4261,100.0,34.5,16.82
0.0,27.6,0.0,14.29,0.2479,-0.4261,100.0,34.5,16.78
0.0,27.6,0.0,79.58,0.2479,-0.4261,100.0,34.5,17.26
0.0,27.6,90.2,0.0,0.2479,-0.4261,100.0,34.5,14.77
0.0,27.6,94.59,5.41,0.2479,-0.4261,100.0,34.5,15.05
0.0,27.6,17.35,81.8,0.2479,-0.4261,100.0,34.5,19.53
0.0,27.6,7.02,91.84,0.2479,-0.4261,100.0,34.5,19.49
